University or School Name,Website,Street Address,City,State,Zip,Library Name,Library Website,Twitter Profile,Blog,Facebook Page,Staff Directory Page
University of Connecticut,http://www.law.uconn.edu/,39 Elizabeth Street,Hartford,CT,06105-2290,Thomas J. Meskill Law Library,https://library.law.uconn.edu/,https://twitter.com/UConnLawLib,none found,none found,https://library.law.uconn.edu/about-contact-information/staff-directory
Yale Law School,http://www.law.yale.edu/,127 Wall Street,New Haven,CT,06511,Lillian Goldman Law Library,http://library.law.yale.edu/,https://twitter.com/yalelawlibrary,http://library.law.yale.edu/blogs,https://www.facebook.com/YaleLawLibrary/,http://library.law.yale.edu/people
American University Washington College of Law,http://www.wcl.american.edu/,4300 Nebraska Ave NW,Washington,DC,20016,Pence Law Library,http://library.wcl.american.edu/,https://twitter.com/pencelibrary,none found,https://www.facebook.com/pencelawlibrary/,https://www.wcl.american.edu/finance/directory/#library
Catholic University of America Columbus School of Law,http://law.edu/,3600 John McCormack Road NE,Washington,DC,20064,Judge Kathryn J. DuFour Law Library,http://www.law.edu/library/index.cfm,none found,none found,https://www.facebook.com/Catholic-University-Law-Library-20647542236/,http://libguides.law.cua.edu/information/directory
George Washington University,http://www.law.gwu.edu/,2000 H Street NW,Washington,DC,20052,Jacob Burns Law Library,https://www.law.gwu.edu/library,https://twitter.com/GWLawLibrary,none found,https://www.facebook.com/gwlawlibrary/,https://www.law.gwu.edu/contacts-library-staff-services
Georgetown University Law Center,http://www.law.georgetown.edu/,111 G. Street NW,Washington,DC,20001,Georgetown Law Library,http://www.law.georgetown.edu/library/,https://twitter.com/GtownLawLib,https://blogs.commons.georgetown.edu/dueprocess/,https://www.facebook.com/Georgetown-Law-Library-27636649993/,http://www.law.georgetown.edu/library/about/who-we-are/index.cfm
Howard University,http://www.law.howard.edu/,2929 Van Ness Street NW,Washington,DC,20008,Law Library,http://library.law.howard.edu/,https://twitter.com/HUSLLibrary,none found,https://www.facebook.com/Howard-University-Law-Library-74863848506/,http://library.law.howard.edu/staff.html
University of the District of Columbia (David A. Clarke School of Law),http://www.law.udc.edu/,4340 Connecticut Ave NW,Washington,DC,20008,Charles N. and Hilda H. M. Mason Law Library,http://library.law.udc.edu/,none found,none found,none found,http://library.law.udc.edu/library-info/staff-directory/
Widener University - Delaware Law School,http://delawarelaw.widener.edu,4601 Concord Pike ,Wilmington,DE,19803-0406,Legal Information Center,http://delawarelaw.widener.edu/current-students/library/,none found,http://blogs.lawlib.widener.edu/delaware/,https://www.facebook.com/DelawareLawSchoolLibrary/,http://delawarelaw.widener.edu/current-students/library/library-staff-directory/
University of Miami,http://www.law.miami.edu/,1311 Miller Drive,Coral Gables,FL,33146,Law Library,http://www.law.miami.edu/library/,https://twitter.com/UMiamiLawLib,none found,https://www.facebook.com/University-of-Miami-Law-Library-22899739340/,http://www.law.miami.edu/iml/library/law-library-staff
Nova Southeastern University (Shepard Broad College of Law),http://www.nsulaw.nova.edu/,3301 College,Fort Lauderdale,FL,33314-7796,Panza Maurer Law Library,https://www.law.nova.edu/library/index.html,https://twitter.com/nsulltc,none found,none found,https://www.law.nova.edu/library/staff.html
University of Florida (Levin College of Law),http://www.law.ufl.edu/,2500 SW 2nd Ave,Gainesville,FL,32611,Lawton Chiles Legal Information Center,http://www.law.ufl.edu/library,https://twitter.com/uflawlibrary,none found,https://www.facebook.com/pages/UF-Law-Library/134489093262908,https://www.law.ufl.edu/library/contact/staff-directory
Stetson University,http://www.law.stetson.edu/,1401 61st Street South,Gulfport,FL,33707,Dolly & Homer Hand Law Library,http://www.stetson.edu/law/library/,https://twitter.com/StetLawLibrary,none found,https://www.facebook.com/Stetson-University-College-of-Law-Dolly-Homer-Hand-Law-Library-176331229079362/,http://libguides.law.stetson.edu/c.php?g=194368&p=1279588
Florida Coastal School of Law,http://www.fcsl.edu/,8787 Baypine Road,Jacksonville,FL,32256,Library & Technology Center,http://www.fcsl.edu/ltc/,none found,http://fcsl.edu/blogs/library/,http://www.facebook.com/CoastalLTC,http://www.fcsl.edu/directory/library
Florida International University,http://law.fiu.edu/,11200 SW 8th Street,Miami,FL,33199,Law Library,https://law.fiu.edu/library/,none found,https://law.fiu.edu/news/library/,https://www.facebook.com/FIULawLibrary/,https://law.fiu.edu/library/about/contact/
St. Thomas University,http://www.stu.edu/,16401 NW 37th Ave,Miami Gardens,FL,33054,Alex A. Hanna Law Library,http://web.stu.edu/law/AlexHannaLibrary/tabid/668/Default.aspx,https://twitter.com/stulawlibrary,none found,https://www.facebook.com/stulawlibrary/,http://www.stu.edu/law/library/library-staff
Ave Maria School of Law,http://www.avemarialaw.edu/,1025 Commons Circle,Naples,FL,34119,Law Library,http://www.avemarialaw.edu/library,https://twitter.com/AMSL_Library,https://avelawlibrary.wordpress.com/,https://www.facebook.com/LEGALLAB,http://www.avemarialaw.edu/library/meet-us/
