University or School Name,Website,Street Address,City,State,Zip,Library Name,Library Website,Twitter Profile,Blog,Facebook Page,Staff Directory Page
University of Missouri,http://www.law.missouri.edu/,122 Hulston Hall ,Columbia,MO,65211 ,Law Library,http://www.law.missouri.edu/library/,https://twitter.com/MULawLibrary,none found,https://www.facebook.com/MizzouLawLibrary,http://law.missouri.edu/about/category/library/
University of Missouri - Kansas City,http://www.law.umkc.edu/,500 E. 52nd Street,Kansas City,MO,64110,Leon E. Bloch Law Library,https://law.umkc.edu/library/,none found,none found,https://www.facebook.com/umkclawlibrary/,https://law.umkc.edu/directory/staff-directory/?cn-s=&cn-cat=43&cn-pg=1&cn-pg=1
Saint Louis University,http://law.slu.edu/,100 North Tucker Boulevard,St. Louis,MO,63101,Vincent C. Immel Law Library,http://law.slu.edu/library,https://twitter.com/slulawlibrary,none found,https://www.facebook.com/SLU-Law-Library-128831620502018/,http://law.slu.edu/library/faculty-staff
Washington University in St. Louis,http://law.wustl.edu/,One Brookings Drive,St. Louis,MO,63130,Law Library,http://law.wustl.edu/library/index.aspx,none found,none found,none found,http://law.wustl.edu/library/pages.aspx?id=1467
Mississippi College,http://law.mc.edu/,151 East Griffith Street,Jackson,MS,39201,Law Library,http://law.mc.edu/law-library/,none found,http://mclawlib.blogspot.com/,https://www.facebook.com/Mississippi-College-School-of-Law-Library-18399003066/,http://law.mc.edu/law-library/faculty-and-staff/
University of Mississippi,http://www.law.olemiss.edu/,481 Chucky Mullins Drive,University,MS,38677-1848,Grisham Law Library,http://library.law.olemiss.edu/,https://twitter.com/OleMissLawbrary,none found,https://www.facebook.com/University-of-Mississippi-Law-Library-25438732114/,http://library.law.olemiss.edu/law-library-staff-directory
University of Montana,http://www.umt.edu/law,32 Campus Drive,Missoula,MT,59812,William J. Jameson Law Library,http://www.umt.edu/law/library/default.php,none found,https://jamesonlawlibrary.wordpress.com,none found,http://www.umt.edu/law/library/about-us.php
University of North Carolina,http://www.law.unc.edu/,160 Ridge Road,Chapel Hill,NC,27599-3385,Katherine R. Everett Law Library,http://library.law.unc.edu/,https://twitter.com/UNCLawLibrary,http://blogs.law.unc.edu/library/,https://www.facebook.com/UNCLawLibrary/,https://library.law.unc.edu/about/directory/
Charlotte School of Law,http://www.charlottelaw.edu/,201 S. College St,Charlotte,NC,28244,Law Library,http://www.charlottelaw.edu/academics/library/,none found,http://charlotteschooloflawblog.com/,none found,http://cslguides.charlottelaw.edu/content.php?pid=234005&sid=5083781
Duke University,http://www.law.duke.edu/,210 Science Drive,Durham,NC,27708-0361,J. Michael Goodson Law Library,https://www.law.duke.edu/lib/,https://twitter.com/DukeLawLibrary,http://dukelawref.blogspot.com/,https://www.facebook.com/dukelawlibrary,https://www.law.duke.edu/lib/staffdirectory/
North Carolina Central University,http://law.nccu.edu/,640 Nelson Street,Durham,NC,27707,Law Library,http://law.nccu.edu/library/,https://twitter.com/ncculawlibrary,none found,https://www.facebook.com/NCCULawLibrary/,http://law.nccu.edu/library/about/staff/
Elon University,http://www.elon.edu/e-web/law,201 North Greene Street,Greensboro,NC,27401,Law Library,http://www.elon.edu/e-web/law/library/default.xhtml,none found,http://elonlawlibrary.blogspot.com/,none found,https://www.elon.edu/e/law/library/contact-us.html
Campbell University (Norman Adrian Wiggins School of Law),http://law.campbell.edu/,225 Hillsborough Street,Raleigh,NC,27603,Law Library,http://law.campbell.edu/page.cfm?id=6&n=law-library,none found,none found,none found,http://law-campbell.libguides.com/staff
Wake Forest University,http://www.law.wfu.edu/,1834 Wake Forest Road,Winston-Salem,NC,27109,Professional Center Library,http://library.law.wfu.edu/,https://twitter.com/wfupcl,http://library.law.wfu.edu/blog/,https://www.facebook.com/WFUPCL/,http://library.law.wfu.edu/about/our-staff/
University of North Dakota,http://www.law.und.nodak.edu/,2968 2nd Avenue North,Grand Forks,ND,58202-9004,Thormodsgard Law Library,http://law.und.edu/library/,https://twitter.com/undlawlibrary,none found,https://www.facebook.com/NDLawLibrary/,http://libguides.law.und.edu/c.php?g=229524&p=1522383
University of Nebraska - Lincoln,http://law.unl.edu/,1875 North 42nd Street,Lincoln,NE,68583,Marvin & Virginia Schmid Law Library,http://law.unl.edu/library/,https://twitter.com/schmidlibrary,https://schmidlawlibrary.wordpress.com,https://www.facebook.com/SchmidLawLibrary/,none found
Creighton University,http://law.creighton.edu/,2133 Cass Street,Omaha,NE,68178,Klutznick Law Library / McGrath North Mullin & Kratz Legal Research Center,https://law.creighton.edu/current-students/law-library,https://twitter.com/CreightonLawLib,http://blogs.creighton.edu/lawlibrarynotes/,none found,https://law.creighton.edu/current-students/law-library/administration-and-staff
University of New Hampshire,http://law.unh.edu/,2 White Street,Concord,NH,03301,Law Library,http://library.law.unh.edu/,none found,http://library.law.unh.edu/blog,https://www.facebook.com/UNH-Law-Library-101076786641536/,http://library.law.unh.edu/Contact
Rutgers University - Camden,http://www-camlaw.rutgers.edu/,217 NORTH FIFTH STREET,Camden,NJ,08102,Law Library,http://camlaw.rutgers.edu/law-library,https://twitter.com/RULawLibr,https://camdenlaw.wordpress.com,http://www.facebook.com/rutgers.law.library.camden,http://camlaw.rutgers.edu/librarians-staff
Rutgers University - Newark,http://law.newark.rutgers.edu,123 Washington Street,Newark,NJ,07102,Law Library,http://law-library.rutgers.edu/index.php,https://twitter.com/RULawLib,none found,https://www.facebook.com/rutgers.law.library.newark/,http://law-library.rutgers.edu/staff
Seton Hall,http://law.shu.edu/,1109 Raymond Boulevard,Newark,NJ,07102,Rodino Law Library  ,http://law.shu.edu/library/index.cfm,https://twitter.com/SHLawLibrary,none found,https://www.facebook.com/SHLawLibrary,http://law.shu.edu/faculty/staff/department_listing.cfm?id=Library
University of New Mexico,http://lawschool.unm.edu/,1117 Stanford NE,Albuquerque,NM,87131-0001,Law Library,http://lawlibrary.unm.edu/,none found,none found,https://www.facebook.com/University-of-New-Mexico-School-of-Law-Library-13891887822/,http://lawlibrary.unm.edu/about.php
University of Nevada - Las Vegas,http://law.unlv.edu/,4505 S. Maryland Parkway,Las Vegas,NV,89154-1080,Wiener-Rogers Law Library,http://law.unlv.edu/law-library,none found,none found,none found,http://law.unlv.edu/academics/law-library/about/staff-directory
Albany Law School,http://www.albanylaw.edu/,80 New Scotland Ave,Albany,NY,12208-3434,Schaffer Law Library,http://www.albanylaw.edu/library/Pages/default.aspx,https://twitter.com/AlbanyLawLib,https://albanylawlibrary.wordpress.com/,https://www.facebook.com/Albany-Law-School-Schaffer-Law-Library-207444285953834/,http://www.albanylaw.edu/library/Pages/default.aspx
Brooklyn Law School,http://www.brooklaw.edu/,250 Joralemon Street ,Brooklyn,NY,11201,Library,https://www.brooklaw.edu/library,https://twitter.com/BLSLibrary,http://www.blslibrary.com,https://www.facebook.com/BLSLibrary/,https://www.brooklaw.edu/intellectuallife/library/accessservicesandstaff/biosdepartmentssupportstaff/ourlibrarians?
SUNY Buffalo,http://www.buffalo.edu/law/,John Lord O'Brian Hall,Buffalo,NY,14203-2887,Charles B. Sears Law Library,http://law.lib.buffalo.edu/,https://twitter.com/UBLawLib,http://libweb.lib.buffalo.edu/blog/law/,https://www.facebook.com/ublawlib,http://law.lib.buffalo.edu/about/staff.asp
Touro College Jacob D. Fuchsberg Law Center,http://www.tourolaw.edu/,255 Eastview Drive,Central Islip,NY,11722-4539,Gould Law Library,http://www.tourolaw.edu/LawLibrary/,https://twitter.com/TouroLawLibrary,none found,https://www.facebook.com/GouldLawLibrary/,http://www.tourolaw.edu/LawLibrary/?pageid=243
Hofstra University,http://law.hofstra.edu,122 Hofstra University,Hempstead,NY,11549,Law Library,http://law.hofstra.edu/library,https://twitter.com/HofstraLawLib,http://lawblogs.hofstra.edu/lawlibrary/,https://www.facebook.com/Law-Library-Hofstra-University-School-of-Law-34975619288/,http://law.hofstra.edu/library/general/staff/index.html
Cornell University,http://www.lawschool.cornell.edu/,Myron Taylor Hall,Ithaca,NY,14853,Law Library,https://law.library.cornell.edu/,https://twitter.com/Cornell_Lawlib,none found,https://www.facebook.com/pages/Cornell-Law-Library/181054331977428,https://law.library.cornell.edu/about/contacts
City University Of New York,http://www.law.cuny.edu/,2 Court Square,Long Island City,NY,11101-4356 ,Law Library,http://www.law.cuny.edu/library.html,none found,none found,https://www.facebook.com/cunylawlibrary,http://www.law.cuny.edu/library/staff.html
Columbia University,https://www.law.columbia.edu/,435 W 116th St,New York,NY,10027,Arthur W. Diamond Law Library,http://web.law.columbia.edu/library,none found,none found,none found,http://web.law.columbia.edu/library/about/contact
Fordham University,http://law.fordham.edu,150 W 62nd St,New York,NY,10023,T.J. & Nancy Maloney Law School Library,http://lawlib1.lawnet.fordham.edu/,https://twitter.com/fordhamlawlib,none found,https://www.facebook.com/fordhamlawlibrary,http://lawlib1.lawnet.fordham.edu/libinfo/contact_us.html
New York Law School,http://www.nyls.edu/,185 West Broadway,New York,NY,10013-2921,Mendik Library,http://www.nyls.edu/library/,none found,http://www.mendikmatters.org/,https://www.facebook.com/mendiklib,http://www.nyls.edu/library/library-information/contact_us/
New York University,http://www.law.nyu.edu/,40 Washington Square South,New York,NY,10012,Law Library,http://www.law.nyu.edu/library,none found,none found,none found,http://www.law.nyu.edu/library/generalinformation/personneldirectory/
Yeshiva University Cardozo School of Law,http://www.cardozo.yu.edu/,55 Fifth Avenue,New York,NY,10003,Dr. Lillian & Dr. Rebecca Chutick Law Library,http://www.cardozo.yu.edu/library,https://twitter.com/cardozolawlib,http://www.cardozo.yu.edu/library-technology/brief-library-blog,https://www.facebook.com/CardozoLawLibrary/,http://www.cardozo.yu.edu/directory/offices/1794
St. John's University,http://www.stjohns.edu/law,8000 Utopia Parkway,Queens,NY,11439,Rittenberg Law Library,http://lawlibrary.stjohns.edu/,https://twitter.com/@SJU_Rittenbird,none found,none found,http://lawlibrary.stjohns.edu/screens/idx_libr_info.html
Syracuse University,http://www.law.syr.edu/,E.I. White Hall,Syracuse,NY,13244-1030,Law Library,http://www.law.syr.edu/law-library/,none found,none found,none found,http://law.syr.edu/law-library/about-the-library/library-staff/
Pace University,http://www.law.pace.edu/,78 North Broadway,White Plains,NY,10603,Law Library,http://www.law.pace.edu/library,https://twitter.com/pacelawlibrary,http://library.blogs.law.pace.edu/,https://www.facebook.com/pacelawlibrary/,http://www.law.pace.edu/library-staff
Ohio Northern University,http://www.law.onu.edu/,525 South Main Street,Ada,OH,45810,Taggart Law Library,http://law.onu.edu/library,none found,none found,https://www.facebook.com/Taggart-Law-Library-at-Ohio-Northern-University-Pettit-College-of-Law-148095708589432/,http://law.onu.edu/library/library_information/contact
University of Akron,https://www.uakron.edu/law/,150 University Ave.,Akron,OH,44325-0002,University of Akron Law Library,https://www.uakron.edu/law/about-us/law-library.dot,none found,none found,none found,http://law.uakron.libguides.com/librarystaff
University of Cincinnati College of Law,http://www.law.uc.edu/,2540 Clifton Ave,Cincinnati,OH,45219,Robert S. Marx Law Library,http://www.law.uc.edu/library,https://twitter.com/UCLawLib,https://lawblogs.uc.edu/marxblog/,https://www.facebook.com/UCLawLibrary/,http://www.law.uc.edu/library/library-directory
Case Western Reserve University School of Law,http://law.case.edu/,11075 East Blvd,Cleveland,OH,44106,Judge Ben C. Green Law Library,http://lawlibrary.case.edu/,https://twitter.com/CWRULawLibrary,http://lawlibrary.case.edu/blog/,https://www.facebook.com/caselawlibrary/,http://lawlibrary.case.edu/about/staff-list/
Cleveland-Marshall College of Law,http://www.law.csuohio.edu/,2121 Euclid Avenue,Cleveland,OH,44115,Cleveland-Marshall Law Library,https://www.law.csuohio.edu/lawlibrary,https://twitter.com/CMLawLibrary,http://cmlawlibraryblog.classcaster.net,https://www.facebook.com/Cleveland-Marshall-College-of-Law-Library-22382136237/,https://www.law.csuohio.edu/lawlibrary/staffdirectory
Capital University,http://www.law.capital.edu/,303 East Broad Street,Columbus,OH,43215,Capital University Law School Library,http://law.capital.edu/Law_Library/,none found,none found,none found,http://law.capital.edu/Law_Library_Contact_Info/
Ohio State University,http://moritzlaw.osu.edu/,55 West 12th Avenue,Columbus,OH,43210-1391,Mortiz Law Library,http://moritzlaw.osu.edu/lib/,https://twitter.com/MoritzLawLib,http://moritzlegalinformation.blogspot.com,https://www.facebook.com/MoritzLawLibrary/,http://moritzlaw.osu.edu/about/about-moritz/departmental-directory/#57
University of Dayton,http://law.udayton.edu/,300 College Park Ave.,Dayton,OH,45469-2780,Zimmerman Law Library,https://www.udayton.edu/law/library/index.php,none found,http://notabibliothecae.blogspot.com/,https://www.facebook.com/ZimmermanLawLibrary/,https://www.udayton.edu/law/library/staff.php
University of Toledo,http://law.utoledo.edu/,1825 West Rocket Drive,Toledo,OH,43606-3390,LaValley Law Library,http://www.utoledo.edu/law/library/index.html,none found,none found,https://www.facebook.com/LaValleyLawLibrary/,http://www.utoledo.edu/law/library/staff.html
University of Oklahoma,http://www.law.ou.edu/,300 Timberdell Rd.,Norman,OK,73019,Donald E. Pray Law Library,http://www.law.ou.edu/content/about,none found,none found,https://www.facebook.com/OULawLibrary/,http://www.law.ou.edu/content/about
Oklahoma City University,http://www.okcu.edu/law,2501 N. Blackwelder Ave.,Oklahoma City,OK,73106,Chickasaw Nation Law Library,http://libguides.okcu.edu/lawlibraryhome,https://twitter.com/OCULAW,none found,none found,http://libguides.okcu.edu/c.php?g=225058&p=2104301
University of Tulsa,http://www.utulsa.edu/law/,3120 E. 4th Pl.,Tulsa,OK,74103,Mabee Legal Information Center,http://law.utulsa.edu/mabee-legal-info-center/,none found,none found,https://www.facebook.com/themlic/,https://law.utulsa.edu/mabee-legal-info-center/staff/
University of Oregon,http://www.law.uoregon.edu/,1515 Agate Street,Eugene,OR,97403,John E. Jaqua Law Library,http://library.uoregon.edu/law,none found,none found,none found,http://library.uoregon.edu/law/aboutus.html
Lewis And Clark,http://law.lclark.edu,10015 SW Terwilliger Blvd,Portland,OR,97219-7768,Paul L. Boley Law Library,http://law.lclark.edu/library/,https://twitter.com/lawlib,https://law.lclark.edu/live/rss/news/header/Library%20Updates/group/Law%3A%20Boley%20Law%20Library/exclude_tag/spotlight,https://www.facebook.com/BoleyLawLibrary/,http://lawlibguides.lclark.edu/about/Staff
Willamette University,http://www.willamette.edu/wucl,245 Winter Street SE,Salem,OR,97301,J.W. Long Law Library,http://www.willamette.edu/law/longlib/index.html,none found,none found,none found,http://www.willamette.edu/law/longlib/about/library_staff/index.html
Pennsylvania State University - Dickinson Law,https://dickinsonlaw.psu.edu/,150 South College Street,Carlisle,PA,17013,"H. Laddie Montague, Jr. Law Library",https://dickinsonlaw.psu.edu/library,none found,http://sites.psu.edu/keepingitbrief/,none found,https://dickinsonlaw.psu.edu/library/library-faculty-and-staff
Widener University - Commonwealth Law School,http://harrisburglaw.widener.edu,3800 Vartan Way,Harrisburg,PA,17106-9380,Law Library,http://commonwealthlaw.widener.edu/current-students/law-library/,none found,http://blogs.lawlib.widener.edu/harrisburg/,https://www.facebook.com/WidenerLawCommonwealthLawLibrary/,http://commonwealthlaw.widener.edu/current-students/law-library/contact-us/
Drexel University,http://www.drexel.edu/law/,3320 Market Street,Philadelphia,PA,19104,Legal Research Center,http://drexel.edu/law/library/,none found,none found,https://www.facebook.com/DULawLRC/,http://deptapp08.drexel.edu/law/library/staff.htm
Temple University,http://www.law.temple.edu/,1719 North Broad Street,Philadelphia,PA,19122,Law Library,http://www.law.temple.edu/resources/library/,https://twitter.com/TempleLawLib,none found,https://www.facebook.com/TempleLawLibrary/,http://www.law.temple.edu/resources/library/about-the-law-library/
University of Pennsylvania,http://www.law.upenn.edu/,3501 Sansom Street,Philadelphia,PA,19104 ,Biddle Law Library,https://www.law.upenn.edu/library/,https://twitter.com/biddlelibrary,https://www.law.upenn.edu/library/blog/,https://www.facebook.com/biddlelawlibrary,https://www.law.upenn.edu/library/about/staff.php
Duquesne University,http://www.law.duq.edu/,900 Locust Street,Pittsburgh,PA,15282 ,Center for Legal Information,http://www.law.duq.edu/libraries/law-library-center-legal-information,none found,none found,https://www.facebook.com/Duquesne-Center-for-Legal-Information-398518643533132/,http://www.law.duq.edu/libraries/law-library-dcli/staff-directory
University of Pittsburgh,http://www.law.pitt.edu/,3900 Forbes Avenue,Pittsburgh,PA,15260,Barco Law Library,http://www.law.pitt.edu/library,https://twitter.com/BarcoLawLibrary,http://www.barcorefblog.blogspot.com,https://www.facebook.com/BarcoLawLibrary/,http://www.law.pitt.edu/library/contact
Pennsylvania State University - Penn State Law,http://www.pennstatelaw.psu.edu/,214 Lewis Katz Building,University Park,PA,16802,"H. Laddie Montague, Jr. Law Library",http://pennstatelaw.psu.edu/library,none found,none found,none found,http://pennstatelaw.psu.edu/library/staff
Villanova University,http://www.law.villanova.edu/,299 North Spring Mill Road,Villanova,PA,19085,Law Library,http://www1.villanova.edu/content/villanova/law/library.html,none found,https://villanovalawlibrary.wordpress.com,none found,http://www1.villanova.edu/villanova/law/library/staffdir.html
Inter-American,http://www.derecho.inter.edu/,Calle Federico Costa #170,Hato Rey,PR,00936-8351,none found,http://www.derecho.inter.edu/inter/node/67,none found,none found,none found,http://www.derecho.inter.edu/inter/node/70
Pontifical Catholic University of Puerto Rico,http://www.pucpr.edu/,2250 Ave Las Americas,Ponce,PR,00717-0655,none found,none found,none found,none found,none found,none found
Universidad de Puerto Rico,http://www.law.upr.edu,,San Juan,PR,00931-3310,Biblioteca de Derecho,http://www.derechoupr.com/,https://twitter.com/BibliotecaDerec,none found,https://www.facebook.com/uprlawlib/,none found
Roger Williams University,http://law.rwu.edu/,Ten Metacom Avenue,Bristol,RI,02809,Law Library,http://law.rwu.edu/library,https://twitter.com/RWULawLibrary,http://law.rwu.edu/blogs/23,https://www.facebook.com/RWULawLibrary/,http://law.rwu.edu/library/about-library/staff
Charleston School of Law,http://www.charlestonlaw.org/,81 Mary Street,Charleston,SC,29403-6249,Sol Blatt Jr. Law Library,http://www.charlestonlaw.edu/Library.aspx,none found,none found,https://www.facebook.com/CharlestonSchoolOfLaw.SolBlattJr.Library,http://www.charlestonlaw.edu/Library/Welcome-from-the-Staff/Welcome-from-the-Staff.aspx
University of South Carolina,http://www.law.sc.edu/,701 Main Street,Columbia,SC,29208,Coleman Karesh Law Library,http://www.law.sc.edu/library/,none found,http://blawg.law.sc.edu,https://www.facebook.com/Coleman-Karesh-Law-Library-151086791721935/,http://www.law.sc.edu/library/about/library-directory.shtml
University of South Dakota,http://www.usd.edu/law,414 E. Clark St. ,Vermillion,SD,57069 ,McKusick Law Library,http://www.usd.edu/law/law-library,none found,http://prairielb.blogspot.com,none found,http://libguides.law.usd.edu/content.php?pid=401056
Lincoln Memorial University (Duncan School of Law),http://law.lmunet.edu/,601 W Summit Hill Dr,Knoxville,TN,37902,Law Library,http://library.lmunet.edu/lawlib/Home,https://twitter.com/refdsol,none found,none found,http://library.lmunet.edu/lawlib/Home
University of Tennessee,http://www.law.utk.edu/,1505 W. Cumberland Avenue,Knoxville,TN,37996-1810,Joel A. Katz Law Library,http://law.utk.edu/library/,none found,none found,https://www.facebook.com/UTK.Law.Library/,http://law.utk.edu/library/directory/
University of Memphis,http://www.memphis.edu/law/,1 North Front Street,Memphis,TN,38103-2189,Law Library,http://www.memphis.edu/law/library/,none found,none found,none found,http://www.memphis.edu/law/faculty-staff/library-staff.php
Belmont University,http://www.belmont.edu/law/,1900 Belmont Boulevard,Nashville,TN,37212-3757,Belmont University College of Law Library,http://www.belmont.edu/law/library/index.html,none found,none found,none found,http://www.belmont.edu/law/library/staff.html
Vanderbilt University,http://www.vanderbilt.edu/Law/,131 21st Ave S,Nashville,TN,37203,Alyne Queener Massey Law Library,http://www.library.vanderbilt.edu/law/,none found,http://newsonline.library.vanderbilt.edu/category/law-library/,none found,http://www.library.vanderbilt.edu/law/ask-librarian.php
University of Texas,http://www.utexas.edu/law/,727 East Dean Keeton St.,Austin,TX,78705,Tarlton Law Library,http://tarlton.law.utexas.edu/,https://twitter.com/TarltonLawLib,http://sites.utexas.edu/Tarlton-library-news/,https://www.facebook.com/TarltonLawLibrary/,https://tarlton.law.utexas.edu/about-the-library/directory
Southern Methodist University,http://www.law.smu.edu/,6550 Hillcrest Avenue,Dallas,TX,75275-0354,Underwood Law Library,http://library.law.smu.edu/,none found,none found,none found,http://library.law.smu.edu/About-Us/Staff
Texas A&M,http://law.tamu.edu/,1515 Commerce Street,Fort Worth,TX,76102-6509,Dee J. Kelly Law Library,http://law.tamu.edu/faculty-staff/library/,none found,none found,https://www.facebook.com/DeeJKellyLawLibrary/,http://law.tamu.edu/faculty-staff/library/about-the-library
South Texas College of Law,http://www.stcl.edu/,1303 San Jacinto Street,Houston,TX,77002-7006,Fred Parks Law Library,http://www.stcl.edu/library/libhome.html,none found,http://thefredparkslawlibrary.blogspot.com,https://www.facebook.com/South-Texas-College-of-Law-The-Fred-Parks-Law-Library-294526053119/,http://www.stcl.edu/library/LibraryStaff.html
Texas Southern University (Thurgood Marshall School of Law),http://www.tsulaw.edu/,3100 Cleburne Street,Houston,TX,77004,Law Library,http://www.tsulaw.edu/library/index.html,none found,none found,https://www.facebook.com/Thurgood-Marshall-School-of-Law-Library-43532766738/,http://www.tsulaw.edu/library/staff/index.html
University of Houston,http://www.law.uh.edu/,4604 Calhoun Rd.,Houston,TX,77004,John O'Quinn Law Library ,http://www.law.uh.edu/libraries/,none found,http://notabeneuh.blogspot.com/,none found,http://www.law.uh.edu/libraries/staff.asp
Texas Tech University,http://www.law.ttu.edu/,1802 Hartford,Lubbock,TX,79409-0004,Law School Library,http://www.law.ttu.edu/lawlibrary/,https://twitter.com/TechLawLibrary,https://texastechlawlibrary.wordpress.com/,https://www.facebook.com/TTULawLibrary/,http://www.law.ttu.edu/lawlibrary/library/about/contact/
St. Mary's University,http://www.stmarytx.edu/law,One Camino Santa Maria,San Antonio,TX,78228-8601,Sarita Kennedy East Law Library,http://lawlib.stmarytx.edu/,none found,none found,https://www.facebook.com/Sarita-Kenedy-East-Law-Library-108927029148861/,http://lawlib.stmarytx.edu/staffdirectory.html
Baylor University,http://www.baylor.edu/law/,1114 South University Parks Drive,Waco,TX,76798,Sheridan & John Eddie Williams Legal Research and Technology Center,http://www.baylor.edu/law/library/,none found,none found,none found,http://www.baylor.edu/law/library/index.php?id=74224
Brigham Young University,http://www.law.byu.edu/,"277 J. Reuben Clark Building, 341 E. Campus Drive",Provo,UT,84604,Howard W. Hunter Law Library,http://lawlib.byu.edu/,https://twitter.com/BYUlawlibrary,http://huntersquery.byulaw.info/wordpress/,https://www.facebook.com/BYUlawlibrary,http://lawlib.byu.edu/node/5783
University of Utah,http://www.law.utah.edu/,383 South University Street,Salt Lake City,UT,84112,James E. Faust Library,http://www.law.utah.edu/library/,none found,http://www.law.utah.edu/category/library-blog/,none found,http://www.law.utah.edu/library/about-the-library/departments-staff/
George Mason University,http://www.law.gmu.edu/,3301 Fairfax Dr.,Arlington,VA,22201,Law Library,http://www.law.gmu.edu/library,https://twitter.com/GMULawLibrary,http://blog.law.gmu.edu/library/,https://www.facebook.com/masonlawlibrary,http://www.law.gmu.edu/library/staff
Judge Advocate General's School,none found,600 Massie Road,Charlottesville,VA,22903-1781,School Library,none found,none found,none found,none found,none found
University of Virginia,http://www.law.virginia.edu/,580 Massie Road,Charlottesville,VA,22903-1738,Arthur J. Morris Law Library,http://www.law.virginia.edu/html/librarysite/library.htm,https://twitter.com/UVALawLibrary,http://uvalaw.typepad.com/library/,https://www.facebook.com/UVALawLibrary/,http://libguides.law.virginia.edu/c.php?g=39994&p=254084
Appalacian School of Law,http://www.asl.edu/,1221 Edgewater Dr,Grundy,VA,24614-7062,ASL Library,http://www.asl.edu/Library.html,https://twitter.com/ASL_Library,http://asllibrary.blogspot.com/,none found,http://www.asl.edu/Other-Pages/Directory.html?firstname=&lastname=&faculty=ViewAll&department=140&btnApply=Apply+Filter
Washington and Lee,http://www.law.wlu.edu/,1 Denny Circle ,Lexington,VA,24450,Wilbur C. Hall Law Library,http://law2.wlu.edu/library/,https://twitter.com/WLLawLib,https://wllawlib.wordpress.com,none found,http://law2.wlu.edu/library/page.asp?pageid=1428
Liberty University,http://law.liberty.edu/,1971 University Blvd,Lynchburg,VA,24515,Ehrhorn Law Library,http://www.liberty.edu/law/law-library/,none found,none found,none found,http://www.liberty.edu/law/law-library/faculty/
University of Richmond,http://law.richmond.edu/,28 Westhampton Way,Richmond,VA,23173,William Taylor Muse Law Library,http://law.richmond.edu/library/index.html,https://twitter.com/URLawLibrary,https://blog.richmond.edu/lawlibrary,https://www.facebook.com/URLawLibrary/,http://law.richmond.edu/library/contact.html
Regent University School of Law,http://www.regent.edu/acad/schlaw,1000 Regent University Drive,Virginia Beach,VA,23464-9800,Regent University Law Library,http://www.regent.edu/acad/schlaw/library/,https://twitter.com/RULawLibrary,http://regentlawlibrary.blogspot.com/,https://www.facebook.com/RULawLibrary/,http://libguides.regent.edu/lawlibdirectory
College of William & Mary Law School,http://law.wm.edu,613 S. Henry St.,Williamsburg,VA,23185,Wolf Law Library,http://law.wm.edu/library/home/index.php,none found,http://law.wm.edu/library/news/index.php,https://www.facebook.com/wolflawlibrary,http://law.wm.edu/library/about/staff/bydepartment/index.php
Vermont Law School,http://www.vermontlaw.edu/,164 Chelsea St,South Royalton,VT,05068,Julien and Virginia Cornell Library,http://www.vermontlaw.edu/academics/library,none found,https://vlslibrary.wordpress.com,https://www.facebook.com/Julien-and-Virginia-Cornell-Library-at-Vermont-Law-School-13501505727/,http://www.vermontlaw.edu/academics/library
Seattle University,http://www.law.seattleu.edu/,901 12th Avenue,Seattle,WA,98122-4411,Law Library,http://www.law.seattleu.edu/library,https://twitter.com/sulawlib,http://lawlibraryblog.seattleu.edu/,none found,http://www.law.seattleu.edu/library/about-us/library-staff
University of Washington,http://www.law.washington.edu/,4293 Memorial Way Northeast,Seattle,WA,98195,Marian Gould Gallagher Law Library,http://lib.law.washington.edu/,https://twitter.com/UWGallagher,http://gallagherlawlibrary.blogspot.com,https://www.facebook.com/GallagherLawLibrary/,http://lib.law.washington.edu/dir/staff.html
Gonzaga University,http://www.law.gonzaga.edu/,721 N. Cincinnati St.,Spokane,WA,99220-3528,Chastek Library,https://www.law.gonzaga.edu/library/,none found,none found,none found,https://www.law.gonzaga.edu/library/about/directory/
University of Wisconsin,http://www.law.wisc.edu/,975 Bascom Mall,Madison,WI,53706,Law Library,http://library.law.wisc.edu/,https://twitter.com/WisBlawg,http://wisblawg.law.wisc.edu,https://www.facebook.com/UWLawLibrary/,http://library.law.wisc.edu/about/staff/index.html
Marquette University,http://www.mu.edu/dept/law,1215 W. Michigan St.,Milwaukee,WI,53201,Ray & Kay Eckstein Law Library,http://law.marquette.edu/law-library/eckstein-law-library,none found,none found,none found,http://law.marquette.edu/law-library/staff-directory-0
West Virginia University,http://www.wvu.edu/~law/,101 Law School Drive,Morgantown,WV,26506,George R. Farmer Jr. Law Library,http://law.wvu.edu/library,https://twitter.com/wvulawlibrary,none found,https://www.facebook.com/WVULawLibrary,http://law.wvu.edu/library/library-staff
University of Wyoming,http://uwadmnweb.uwyo.edu/Law/,1000 E. University Ave.,Laramie,WY,82071,George W. Hopper Law Library,http://www.uwyo.edu/lawlib/,https://twitter.com/HopperLaw,none found,https://www.facebook.com/pages/George-W-Hopper-Law-Library/146989568699752,http://www.uwyo.edu/lawlib/libraryinfo/#staff
